instance,algorithm,movement_mode,scheme,selection_mode,state_update_mode,degenerate_cohesion,latent_amplitude,repair_feedback,seed,population,evaluation_budget,evaluations,best_found_at_evaluation,cost,rpd,feasible,initially_feasible_rate,added_columns,removed_columns,acceptance_rate,binary_state_change_rate,global_improvements,runtime_seconds,python,numpy,role,scale,reference_type
scpd3,ALPHA_ALWAYS_FEEDBACK,ALPHA,S1-STD,ALWAYS,REPAIR_FEEDBACK,MIN,4.0,1.0,2,10,300,300,205,96.0,33.333333333333336,True,0.9166666666666666,37,27807,1.0,0.43448275862068964,7,1.521383874998719,3.13.15,2.5.1,development,large,optimum
scpd3,ANCHOR_ALWAYS_SYNC,PWO,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,0,10,300,300,31,85.0,18.055555555555557,True,0.86,273,20163,1.0,0.17586206896551723,5,1.6339984579972224,3.13.15,2.5.1,development,large,optimum
scpd3,ANCHOR_ALWAYS_SYNC,PWO,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,1,10,300,300,76,78.0,8.333333333333334,True,0.77,389,20124,1.0,0.25517241379310346,8,1.6143908750018454,3.13.15,2.5.1,development,large,optimum
scpd3,ANCHOR_ALWAYS_SYNC,PWO,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,2,10,300,300,62,81.0,12.5,True,0.8133333333333334,304,20312,1.0,0.23103448275862068,6,1.6075070410006447,3.13.15,2.5.1,development,large,optimum
scpd3,ANCHOR_GREEDY_SYNC,PWO,S1-STD,GREEDY,SYNC,MIN,4.0,1.0,0,10,300,300,31,84.0,16.666666666666668,True,0.87,281,20208,0.9379310344827586,0.1,5,1.6689027920001536,3.13.15,2.5.1,development,large,optimum
scpd3,ANCHOR_GREEDY_SYNC,PWO,S1-STD,GREEDY,SYNC,MIN,4.0,1.0,1,10,300,300,65,79.0,9.722222222222221,True,0.8,320,20111,0.9586206896551724,0.1793103448275862,9,1.7041330420033773,3.13.15,2.5.1,development,large,optimum
scpd3,ANCHOR_GREEDY_SYNC,PWO,S1-STD,GREEDY,SYNC,MIN,4.0,1.0,2,10,300,300,52,83.0,15.277777777777779,True,0.8433333333333334,301,20294,0.9551724137931035,0.1413793103448276,3,1.7180467090001912,3.13.15,2.5.1,development,large,optimum
scpd3,PWO_ALWAYS_FEEDBACK,PWO,S1-STD,ALWAYS,REPAIR_FEEDBACK,MIN,4.0,1.0,0,10,300,300,226,82.0,13.88888888888889,True,0.8033333333333333,311,20252,1.0,0.25862068965517243,5,1.7047417499998119,3.13.15,2.5.1,development,large,optimum
scpd3,PWO_ALWAYS_FEEDBACK,PWO,S1-STD,ALWAYS,REPAIR_FEEDBACK,MIN,4.0,1.0,1,10,300,300,58,84.0,16.666666666666668,True,0.75,553,20752,1.0,0.2896551724137931,5,1.4718999579999945,3.13.15,2.5.1,development,large,optimum
scpd3,PWO_ALWAYS_FEEDBACK,PWO,S1-STD,ALWAYS,REPAIR_FEEDBACK,MIN,4.0,1.0,2,10,300,300,277,78.0,8.333333333333334,True,0.7766666666666666,442,20715,1.0,0.30344827586206896,6,1.4536471669998718,3.13.15,2.5.1,development,large,optimum
