instance,algorithm,movement_mode,scheme,degenerate_cohesion,latent_amplitude,bound,seed,population,evaluation_budget,evaluations,best_found_at_evaluation,cost,rpd,feasible,initially_feasible_rate,added_columns,removed_columns,runtime_seconds,python,numpy,role,scale,reference_type
scpd1,BPWO_V3_COMP,PWO,V3-COMP,MAX,1.0,1.0,2,10,6000,6000,229,83.0,38.333333333333336,True,1.0,0,16544158,63.29536391698639,3.14.0,2.5.2,calibration,large,optimum
scpd1,BPWO_V3_COMP,PWO,V3-COMP,MAX,1.0,1.0,3,10,6000,6000,2628,77.0,28.333333333333332,True,1.0,0,16547250,62.336111041979166,3.14.0,2.5.2,calibration,large,optimum
scpd1,BPWO_V3_COMP,PWO,V3-COMP,MAX,1.0,1.0,4,10,6000,6000,900,77.0,28.333333333333332,True,1.0,0,16549258,62.106254124984844,3.14.0,2.5.2,calibration,large,optimum
scpnre1,BPWO_S2_STD,PWO,S2-STD,MAX,1.0,1.0,0,10,6000,6000,4329,31.0,6.896551724137931,True,1.0,0,7977922,56.708509500022046,3.14.0,2.5.2,calibration,large,optimum
scpnre1,BPWO_S2_STD,PWO,S2-STD,MAX,1.0,1.0,1,10,6000,6000,4432,32.0,10.344827586206897,True,1.0,0,7972398,56.31967895798152,3.14.0,2.5.2,calibration,large,optimum
scpnre1,BPWO_S2_STD,PWO,S2-STD,MAX,1.0,1.0,2,10,6000,6000,5808,30.0,3.4482758620689653,True,1.0,0,7971860,57.24854850000702,3.14.0,2.5.2,calibration,large,optimum
scpnre1,BPWO_S2_STD,PWO,S2-STD,MAX,1.0,1.0,3,10,6000,6000,5558,32.0,10.344827586206897,True,1.0,0,7972712,57.22629200000665,3.14.0,2.5.2,calibration,large,optimum
scpnre1,BPWO_S2_STD,PWO,S2-STD,MAX,1.0,1.0,4,10,6000,6000,2170,31.0,6.896551724137931,True,1.0,0,7971221,55.54784012501477,3.14.0,2.5.2,calibration,large,optimum
scpnre1,BPWO_V3_COMP,PWO,V3-COMP,MAX,1.0,1.0,0,10,6000,6000,174,33.0,13.793103448275861,True,1.0,0,20948372,89.00723241601372,3.14.0,2.5.2,calibration,large,optimum
scpnre1,BPWO_V3_COMP,PWO,V3-COMP,MAX,1.0,1.0,1,10,6000,6000,644,34.0,17.24137931034483,True,1.0,0,20940783,88.32872929199948,3.14.0,2.5.2,calibration,large,optimum
