instance,algorithm,movement_mode,scheme,degenerate_cohesion,latent_amplitude,bound,seed,population,evaluation_budget,evaluations,best_found_at_evaluation,cost,rpd,feasible,initially_feasible_rate,added_columns,removed_columns,runtime_seconds,python,numpy,role,scale,reference_type
scpnre1,BPWO_ANCHOR,PWO,S1-STD,MIN,4.0,6.0,0,30,15000,15000,131,29.0,0.0,True,0.9664,1095,99921,132.73021941725165,3.13.15,2.5.1,calibration,large,optimum
scpnre1,BPWO_ANCHOR,PWO,S1-STD,MIN,4.0,6.0,1,30,15000,15000,196,29.0,0.0,True,0.9666666666666667,1061,100389,133.84258508309722,3.13.15,2.5.1,calibration,large,optimum
scpnre1,BPWO_ANCHOR,PWO,S1-STD,MIN,4.0,6.0,2,30,15000,15000,344,29.0,0.0,True,0.9622,1510,100220,132.57287316583097,3.13.15,2.5.1,calibration,large,optimum
scpnre1,BPWO_ANCHOR,PWO,S1-STD,MIN,4.0,6.0,3,30,15000,15000,277,29.0,0.0,True,0.9718666666666667,996,99981,133.38408899959177,3.13.15,2.5.1,calibration,large,optimum
scpnre1,BPWO_ANCHOR,PWO,S1-STD,MIN,4.0,6.0,4,30,15000,15000,280,30.0,3.4482758620689653,True,0.9689333333333333,1123,100084,133.0572886671871,3.13.15,2.5.1,calibration,large,optimum
scpnre1,BPWO_BASE,PWO,V3-ELIT,MAX,1.0,1.0,0,30,15000,15000,64,29.0,0.0,True,0.002,133190,78910,155.30896345805377,3.13.15,2.5.1,calibration,large,optimum
scpnre1,BPWO_BASE,PWO,V3-ELIT,MAX,1.0,1.0,1,30,15000,15000,92,29.0,0.0,True,0.002,133548,79019,156.1541645838879,3.13.15,2.5.1,calibration,large,optimum
scpnre1,BPWO_BASE,PWO,V3-ELIT,MAX,1.0,1.0,2,30,15000,15000,175,29.0,0.0,True,0.002,134198,78552,155.369079249911,3.13.15,2.5.1,calibration,large,optimum
scpnre1,BPWO_BASE,PWO,V3-ELIT,MAX,1.0,1.0,3,30,15000,15000,91,29.0,0.0,True,0.002,133568,78535,154.35359233384952,3.13.15,2.5.1,calibration,large,optimum
scpnre1,BPWO_BASE,PWO,V3-ELIT,MAX,1.0,1.0,4,30,15000,15000,75,29.0,0.0,True,0.0021333333333333334,133873,79207,157.32259687501937,3.13.15,2.5.1,calibration,large,optimum
scpnrf1,BPWO_ANCHOR,PWO,S1-STD,MIN,4.0,6.0,0,30,15000,15000,692,14.0,0.0,True,0.9606666666666667,1017,100116,132.09702779212967,3.13.15,2.5.1,calibration,large,optimum
scpnrf1,BPWO_ANCHOR,PWO,S1-STD,MIN,4.0,6.0,1,30,15000,15000,50,15.0,7.142857142857143,True,0.9645333333333334,800,100213,128.18769041635096,3.13.15,2.5.1,calibration,large,optimum
scpnrf1,BPWO_ANCHOR,PWO,S1-STD,MIN,4.0,6.0,2,30,15000,15000,324,14.0,0.0,True,0.971,730,99929,129.03241891600192,3.13.15,2.5.1,calibration,large,optimum
scpnrf1,BPWO_ANCHOR,PWO,S1-STD,MIN,4.0,6.0,3,30,15000,15000,86,15.0,7.142857142857143,True,0.9741333333333333,650,99773,132.8647014158778,3.13.15,2.5.1,calibration,large,optimum
scpnrf1,BPWO_ANCHOR,PWO,S1-STD,MIN,4.0,6.0,4,30,15000,15000,158,14.0,0.0,True,0.9718,747,100200,133.22884316695854,3.13.15,2.5.1,calibration,large,optimum
scpnrf1,BPWO_BASE,PWO,V3-ELIT,MAX,1.0,1.0,0,30,15000,15000,503,14.0,0.0,True,0.009,66895,75698,148.8994650421664,3.13.15,2.5.1,calibration,large,optimum
scpnrf1,BPWO_BASE,PWO,V3-ELIT,MAX,1.0,1.0,1,30,15000,15000,844,14.0,0.0,True,0.009133333333333334,64644,75630,149.1480641248636,3.13.15,2.5.1,calibration,large,optimum
scpnrf1,BPWO_BASE,PWO,V3-ELIT,MAX,1.0,1.0,2,30,15000,15000,83,14.0,0.0,True,0.009266666666666666,66342,75301,151.49780687503517,3.13.15,2.5.1,calibration,large,optimum
